year,country,name,title,hotdogs.buns,minutes,notes
2015,United States,Matt Stonie,Men,62,10,"Matt Stonie ended the 8 year winning streak of Joey Chestnut, eating 62 hot dogs to Joey's 60."
2015,United States,Miki Sudo,Women,38,10,
2014,United States,Joey Chestnut,Men,61,10,"Joey Chestnut faced fierce competition from Matt Stonie, who finished second with 56 hotdogs in 10 minutes. Tim ‰ÛÏEater X‰Ûù Janus finished in 3rd. This became Joey's 8th consecutive win."
2014,United States,Miki Sudo,Women,34,10,
2013,United States,Joey Chestnut,Men,69,10,Joey Chestnut beat his own record with 69 hot dogs in 10 minutes.
2013,United States,Sonya Thomas,Women,36,10,
2012,United States,Joey Chestnut,Men,68,10,"Chestnut tied his previous record, previously set in 2009. He also became the second person to win six consecutive titles. Thomas set a new women's record. Tim ‰ÛÏEater X‰Ûù Janus (52.25) and Patrick ""Deep Dish"" Bertoletti (51) finish second and third once again, this time with Janus edging out for second place."
2012,United States,Sonya Thomas,Women,45,10,
2011,United States,Joey Chestnut,Men,62,10,"Separate competitions are held for women and men for the first time. Chestnut dominates on his way to his fifth straight title. Sonya Thomas (40 HDB) won the inaugural women's event. Patrick ""Deep Dish"" Bertoletti (53) and Tim ‰ÛÏEater X‰Ûù Janus (45) finish 2nd and 3rd for the second year in a row."
2011,United States,Sonya Thomas,Women,40,10,
2010,United States,Joey Chestnut,Men,54,10,"Chestnut (54), Tim ‰ÛÏEater X‰Ûù Janus (45), and Patrick ""Deep Dish"" Bertoletti (37) round out the top three."
2009,United States,Joey Chestnut,Men,68,10,"Chestnut (68 HDB) beat his previous record in ten minutes, setting new event, U.S., and world records. Kobayashi (64å_ HDB) set a Japanese record. Patrick ""Deep Dish"" Bertoletti finished third with an impressive 55 HDB. Sonya ""The Black Widow"" Thomas (41) broke the female record."
2008,United States,Joey Chestnut,Men,59,10,"Event, Japanese, U.S., and world records set (59 HDB). First event using new ten-minute time limit and first tie and eat-off since 1980. Chestnut & Kobayashi tied for first with 59 in regulation. In overtime Chestnut is the first to finish a plate of five. Kobayashi, losing by a bite, finishes second. Tim ‰ÛÏEater X‰Ûù Janus finished third with 42."
2007,United States,Joey Chestnut,Men,66,12,"Having broken the world and U.S. records with 59å_ HDB at a qualifier contest on June 2, 2007, Chestnut (66 HDB) finishes first, setting new event, U.S. and world records. Defeating Kobayashi for the first time. Fifth place Sonya Thomas (39 HDB) sets female record."
2006,Japan,Takeru Kobayashi,Men,53,12,"Winner Kobayashi sets event, Japanese and world records. Second place Joey Chestnut (52 HDB), sets U.S. record. Sonya ""Black Widow"" Thomas (37) finishes third."
2005,Japan,Takeru Kobayashi,Men,49,12,"2nd: Sonya ""Black Widow"" Thomas (37) sets U.S. record, Women's record. Future winner Joey ""Jaws"" Chestnut finishes third with 32."
2004,Japan,Takeru Kobayashi,Men,53,12,"Event, Japanese and world records set. 2nd: Nobuyuki Shirota (38), Sonya Thomas (32 HDB) sets the female and U.S. records."
2003,Japan,Takeru Kobayashi,Men,44,12,"Sonya Thomas (25 HDB) sets the female record. 2nd: Ed ""Cookie"" Jarvis (30å_, American record), 3rd: Eric ""Badlands"" Booker (29). Twenty competitors and 3,000 spectators in attendance. William ""The Refrigerator"" Perry competes, but eats only four HDB and drops out after five minutes. [14]"
2002,Japan,Takeru Kobayashi,Men,50,12,"Event, Japanese and world records set."
